"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30"
"37",0.75,0.8,0.85,0.7,0.6,0.75,0.7,0.8,0.75,0.75,0.65,0.7,0.7,0.75,0.75,0.8,0.8,0.7,0.75,0.75,0.75,0.75,0.75,0.85,0.75,0.8
"38",0.8,0.8,0.8,0.55,0.7,0.75,0.75,0.85,0.7,0.75,0.75,0.75,0.75,0.85,0.8,0.8,0.75,0.8,0.75,0.8,0.75,0.7,0.75,0.75,0.8,0.8
"39",0.75,0.85,0.7,0.75,0.8,0.8,0.85,0.75,0.75,0.75,0.75,0.8,0.7,0.75,0.75,0.65,0.75,0.8,0.65,0.75,0.75,0.75,0.75,0.65,0.75,0.75
"40",0.75,0.8,0.8,0.6,0.7,0.55,0.75,0.75,0.75,0.75,0.65,0.8,0.75,0.75,0.7,0.8,0.8,0.8,0.75,0.8,0.75,0.75,0.7,0.8,0.75,0.7
"41",0.85,0.75,0.7,0.7,0.6,0.7,0.75,0.75,0.8,0.75,0.8,0.75,0.75,0.75,0.85,0.75,0.8,0.75,0.7,0.55,0.75,0.7,0.8,0.8,0.75,0.75
"42",0.55,0.8,0.8,0.75,0.8,0.8,0.8,0.75,0.75,0.75,0.8,0.8,0.75,0.8,0.8,0.85,0.75,0.75,0.75,0.75,0.7,0.75,0.85,0.8,0.8,0.65
"43",0.75,0.7,0.75,0.7,0.75,0.75,0.65,0.75,0.6,0.7,0.75,0.75,0.8,0.7,0.6,0.75,0.75,0.75,0.8,0.8,0.7,0.8,0.75,0.8,0.75,0.7
"44",0.7,0.75,0.75,0.7,0.8,0.7,0.75,0.75,0.75,0.8,0.8,0.75,0.8,0.75,0.75,0.8,0.8,0.75,0.75,0.8,0.55,0.75,0.75,0.75,0.8,0.75
"45",0.7,0.8,0.75,0.75,0.7,0.8,0.8,0.75,0.7,0.55,0.75,0.8,0.8,0.8,0.7,0.8,0.75,0.75,0.75,0.75,0.8,0.8,0.75,0.8,0.75,0.65
"46",0.7,0.75,0.75,0.65,0.75,0.75,0.75,0.8,0.6,0.75,0.8,0.55,0.7,0.7,0.75,0.8,0.75,0.75,0.7,0.8,0.8,0.75,0.75,0.75,0.7,0.8
"47",0.7,0.7,0.8,0.6,0.75,0.7,0.8,0.8,0.85,0.75,0.85,0.75,0.75,0.75,0.7,0.7,0.7,0.75,0.75,0.75,0.8,0.75,0.75,0.8,0.75,0.75
"48",0.75,0.75,0.6,0.5,0.8,0.75,0.75,0.75,0.75,0.75,0.8,0.75,0.75,0.8,0.75,0.7,0.75,0.65,0.75,0.75,0.65,0.75,0.75,0.75,0.75,0.65
"49",0.85,0.8,0.8,0.75,0.65,0.65,0.75,0.75,0.6,0.75,0.65,0.8,0.75,0.8,0.75,0.75,0.8,0.75,0.7,0.7,0.75,0.8,0.75,0.85,0.75,0.75
"50",0.7,0.5,0.75,0.7,0.75,0.8,0.8,0.8,0.8,0.75,0.7,0.75,0.65,0.7,0.75,0.8,0.7,0.75,0.75,0.75,0.8,0.7,0.7,0.8,0.75,0.75
