"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"61",2010-06-16,152,4.8,1.56861591791385,5.02388052084628
"62",2010-06-16,152,4.6,1.52605630349505,5.02388052084628
"63",2010-06-24,90,2.1,0.741937344729377,4.49980967033027
"64",2010-06-24,90,1.6,0.470003629245736,4.49980967033027
"65",2011-07-15,37,8.25,2.11021320034659,3.61091791264422
"66",2011-07-21,23,3.3,1.19392246847243,3.13549421592915
"67",2011-07-29,19,3.8,1.33500106673234,2.94443897916644
"68",2011-08-03,16,2.2,0.78845736036427,2.77258872223978
"69",2011-08-11,127,5.1,1.62924053973028,4.84418708645859
"70",2011-08-18,102,2.3,0.832909122935104,4.62497281328427
"71",2011-09-01,23,3.4,1.22377543162212,3.13549421592915
"72",2011-09-08,15,4.8,1.56861591791385,2.70805020110221
"73",2011-09-16,14,2.7,0.993251773010283,2.63905732961526
"74",2011-09-22,121,3,1.09861228866811,4.79579054559674
"75",2011-09-26,121,1,0,4.79579054559674
"76",2011-10-06,41,1.8,0.587786664902119,3.71357206670431
"77",2011-10-13,224,16.2,2.78501124223834,5.41164605185504
"78",2011-10-26,57,2,0.693147180559945,4.04305126783455
"79",2011-11-03,62,1.7,0.53062825106217,4.12713438504509
"80",2011-11-09,4380,43.85,3.78077471881819,8.38480400337049
"81",2011-11-17,209,1.8,0.587786664902119,5.34233425196481
"82",2011-12-01,307,0.4,-0.916290731874155,5.7268477475872
"83",2011-12-08,735,2.3,0.832909122935104,6.59987049921284
"84",2011-12-15,2750,31.8,3.45946628978613,7.91935619066062
"85",2012-01-05,218,1.9,0.641853886172395,5.38449506278909
"86",2012-01-12,267,1.3,0.262364264467491,5.58724865840025
"87",2012-01-19,175,0.5,-0.693147180559945,5.16478597392351
"88",2012-01-26,7540,182.65,5.20757175324129,8.927977461002
"89",2012-02-02,670,2,0.693147180559945,6.50727771238501
"90",2012-02-09,746,2.7,0.993251773010283,6.61472560020376
"91",2012-02-16,533,2.8,1.02961941718116,6.27852142416584
"92",2012-03-01,290,1.8,0.587786664902119,5.66988092298052
"93",2012-03-13,1820,13.35,2.59151638484626,7.50659178007084
"94",2012-03-20,3890,82.9,4.41763506214125,8.26616443661249
"95",2012-03-21,12800,187.2,5.23217756404349,9.45720044990771
"96",2012-03-22,13300,86.8,4.4636066216663,9.49551931420985
"97",2012-03-29,988,4.7,1.54756250871601,6.89568269774787
"98",2012-04-12,215,2.2,0.78845736036427,5.37063802812766
"99",2012-04-19,188,2.65,0.974559639998131,5.23644196282995
"100",2012-04-26,122,3.4,1.22377543162212,4.80402104473326
"101",2012-05-02,122,2.55,0.936093359170335,4.80402104473326
"102",2012-05-10,61,2,0.693147180559945,4.11087386417331
"103",2012-05-16,48,3.5,1.25276296849537,3.87120101090789
"104",2012-05-24,32,2.45,0.896088024556636,3.46573590279973
"105",2012-06-01,26,2.7,0.993251773010283,3.25809653802148
"106",2012-06-05,27,3.8,1.33500106673234,3.29583686600433
"107",2012-06-14,25,3.6,1.28093384546206,3.2188758248682
"108",2012-06-21,15,3.8,1.33500106673234,2.70805020110221
"109",2012-06-28,9,2.9,1.06471073699243,2.19722457733622
"110",2012-07-12,11,2.5,0.916290731874155,2.39789527279837
"111",2012-07-19,6.1,2.95,1.08180517035173,1.80828877117927
"112",2012-08-02,4.3,3,1.09861228866811,1.45861502269952
"113",2012-08-17,5.3,2.1,0.741937344729377,1.66770682055808
"114",2012-08-20,6.3,2.4,0.8754687373539,1.84054963339749
"115",2012-08-29,13,2.25,0.810930216216329,2.56494935746154
"116",2012-09-05,10,1.7,0.53062825106217,2.30258509299405
"117",2012-09-11,51,3.1,1.1314021114911,3.93182563272433
"118",2012-09-25,16,1.4,0.336472236621213,2.77258872223978
"119",2012-10-01,17,2.1,0.741937344729377,2.83321334405622
"120",2012-10-09,16,0.95,-0.0512932943875506,2.77258872223978
"121",2012-10-15,164,1.3,0.262364264467491,5.0998664278242
"122",2012-10-24,40,1.1,0.0953101798043249,3.68887945411394
"123",2012-10-31,28,0.7,-0.356674943938732,3.3322045101752
"124",2012-11-07,22,1.2,0.182321556793955,3.09104245335832
"125",2012-11-14,26,22.3,3.10458667846607,3.25809653802148
"126",2012-11-28,23,0.9,-0.105360515657826,3.13549421592915
"127",2012-12-05,45,1.9,0.641853886172395,3.80666248977032
"128",2012-12-12,45,1.2,0.182321556793955,3.80666248977032
"129",2013-01-10,71,1.7,0.53062825106217,4.26267987704132
"130",2013-01-15,188,4.9,1.58923520511658,5.23644196282995
"131",2013-01-23,86,3.2,1.16315080980568,4.45434729625351
"132",2013-01-31,2430,41.9,3.73528582692809,7.79564653633459
"133",2013-02-06,251,1.4,0.336472236621213,5.52545293913178
"134",2013-02-11,566,5,1.6094379124341,6.33859407820318
"135",2013-02-20,297,1.1,0.0953101798043249,5.6937321388027
"136",2013-02-27,1620,7.5,2.01490302054226,7.39018142822643
"137",2013-03-06,338,1.3,0.262364264467491,5.82304589548302
"138",2013-03-11,2510,74.3,4.30811095172371,7.82803803212583
"139",2013-03-19,396,1.3,0.262364264467491,5.98141421125448
"140",2013-03-29,416,2.1,0.741937344729377,6.03068526026126
"141",2013-04-03,710,1.7,0.53062825106217,6.56526497003536
"142",2013-04-12,899,3,1.09861228866811,6.80128303447162
"143",2013-04-19,3080,29.2,3.37416870927424,8.03268487596762
"144",2013-04-24,651,1.8,0.587786664902119,6.47850964220857
"145",2013-04-27,2870,31.8,3.45946628978613,7.96206730875367
"146",2013-05-10,4280,116.7,4.75960653929251,8.36170828857584
