"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30"
"1",0.25,0.8,0.4,0.5,0.4,0.35,0.45,0.35,0.45,0.4,0.4,0.35,0.45,0.45,0.55,0.35,0.45,0.35,0.3,0.4,0.35,0.4,0.5,0.6,0.4,0.4
"2",0.2,0.35,0.6,0.4,0.55,0.4,0.6,0.4,0.4,0.55,0.4,0.55,0.45,0.35,0.35,0.35,0.2,0.45,0.45,0.55,0.6,0.55,0.4,0.45,0.4,0.35
"3",0.6,0.45,0.5,0.5,0.55,0.6,0.4,0.55,0.35,0.6,0.4,0.4,0.35,0.25,0.2,0.55,0.25,0.55,0.25,0.3,0.45,0.4,0.35,0.55,0.3,0.4
"4",0.35,0.45,0.5,0.6,0.55,0.6,0.45,0.45,0.6,0.55,0.5,0.5,0.6,0.45,0.4,0.55,0.35,0.4,0.6,0.35,0.45,0.4,0.45,0.2,0.55,0.5
"5",0.5,0.35,0.8,0.6,0.45,0.6,0.6,0.55,0.5,0.55,0.3,0.35,0.35,0.6,0.55,0.35,0.6,0.5,0.4,0.4,0.45,0.4,0.4,0.5,0.45,0.4
"6",0.45,0.75,0.6,0.35,0.4,0.35,0.4,0.4,0.4,0.35,0.4,0.4,0.4,0.55,0.4,0.6,0.35,0.45,0.5,0.6,0.3,0.3,0.55,0.55,0.6,0.25
"7",0.3,0.4,0.35,0.2,0.4,0.6,0.4,0.55,0.35,0.4,0.45,0.5,0.6,0.4,0.4,0.6,0.5,0.45,0.5,0.4,0.35,0.4,0.4,0.4,0.4,0.4
"8",0.45,0.45,0.45,0.3,0.5,0.35,0.55,0.4,0.6,0.35,0.35,0.5,0.35,0.55,0.55,0.4,0.4,0.35,0.4,0.4,0.35,0.6,0.4,0.6,0.35,0.4
"9",0.4,0.45,0.35,0.5,0.45,0.5,0.4,0.45,0.35,0.5,0.4,0.5,0.45,0.4,0.4,0.55,0.45,0.3,0.6,0.4,0.6,0.55,0.4,0.45,0.35,0.45
"10",0.6,0.35,0.45,0.3,0.4,0.45,0.3,0.55,0.4,0.35,0.35,0.4,0.3,0.6,0.4,0.4,0.6,0.3,0.4,0.4,0.45,0.4,0.6,0.5,0.5,0.4
"11",0.6,0.6,0.3,0.5,0.45,0.2,0.5,0.35,0.4,0.35,0.3,0.3,0.4,0.3,0.6,0.6,0.4,0.4,0.4,0.45,0.35,0.5,0.4,0.5,0.45,0.4
"12",0.5,0.45,0.5,0.5,0.55,0.4,0.6,0.5,0.45,0.45,0.35,0.35,0.35,0.45,0.5,0.4,0.45,0.55,0.4,0.6,0.5,0.4,0.3,0.35,0.5,0.35
"13",0.7,0.5,0.3,0.4,0.4,0.35,0.45,0.45,0.55,0.3,0.6,0.55,0.45,0.4,0.4,0.35,0.6,0.4,0.6,0.35,0.45,0.45,0.35,0.4,0.4,0.35
"14",0.5,0.4,0.55,0.55,0.45,0.45,0.5,0.4,0.5,0.35,0.35,0.5,0.45,0.35,0.3,0.5,0.4,0.45,0.55,0.4,0.6,0.55,0.4,0.45,0.45,0.35
"15",0.4,0.55,0.4,0.35,0.3,0.4,0.25,0.35,0.55,0.5,0.55,0.35,0.6,0.4,0.45,0.55,0.3,0.5,0.35,0.5,0.6,0.45,0.45,0.4,0.4,0.45
"16",0.4,0.35,0.6,0.6,0.3,0.5,0.4,0.45,0.55,0.25,0.35,0.55,0.6,0.45,0.3,0.6,0.45,0.35,0.45,0.5,0.35,0.55,0.35,0.5,0.6,0.55
"17",0.45,0.4,0.5,0.45,0.45,0.6,0.25,0.7,0.3,0.35,0.55,0.5,0.4,0.45,0.35,0.45,0.2,0.35,0.55,0.4,0.4,0.35,0.45,0.35,0.45,0.6
"18",0.5,0.4,0.5,0.5,0.4,0.35,0.35,0.35,0.3,0.6,0.45,0.35,0.35,0.45,0.45,0.45,0.5,0.45,0.4,0.5,0.5,0.35,0.4,0.4,0.4,0.6
